GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.capitalone.dashboard:core,com.capitalone.dashboard.config.collector,QCloudConfig,177,0,4,0,34,0,8,0,6,0
com.capitalone.dashboard:core,com.capitalone.dashboard.config.collector,CloudConfig,302,0,52,0,45,0,46,0,20,0
com.capitalone.dashboard:core,org.bson.types,QObjectId,49,101,0,0,2,12,1,3,1,3
com.capitalone.dashboard:core,com.capitalone.dashboard.config,CollectorConfig,7,0,0,0,2,0,2,0,2,0
com.capitalone.dashboard:core,com.capitalone.dashboard.config,MongoConfig,148,23,10,0,28,5,7,5,2,5
com.capitalone.dashboard:core,com.capitalone.dashboard.repository,FeatureRepositoryImpl,122,91,31,9,24,18,21,3,2,2
com.capitalone.dashboard:core,com.capitalone.dashboard.request,TestDataCreateRequest,144,0,0,0,60,0,40,0,40,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,CloudSubnetListRefreshRequest,24,0,0,0,10,0,7,0,7,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,DeployDataCreateRequest,115,0,0,0,49,0,33,0,33,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,CloudInstanceListRefreshRequest,24,0,0,0,10,0,7,0,7,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,CodeQualityCreateRequest,74,0,0,0,30,0,20,0,20,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,CloudSubnetCreateRequest,165,0,8,0,58,0,39,0,35,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,CloudVolumeListRefreshRequest,24,0,0,0,10,0,7,0,7,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,CloudInstanceCreateRequest,268,0,8,0,101,0,67,0,63,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,CloudVirtualNetworkListRefreshRequest,24,0,0,0,10,0,7,0,7,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,CommitCreateRequest,17,0,0,0,7,0,5,0,5,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,BuildDataCreateRequest,111,0,0,0,45,0,29,0,29,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,CloudVolumeCreateRequest,117,0,12,0,34,0,27,0,21,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,BinaryArtifactCreateRequest,65,0,0,0,25,0,16,0,16,0
com.capitalone.dashboard:core,com.capitalone.dashboard.collector,CollectorTask,96,113,3,5,17,31,6,8,4,6
com.capitalone.dashboard:core,com.capitalone.dashboard.util,CoreFeatureSettings,24,0,0,0,10,0,7,0,7,0
com.capitalone.dashboard:core,com.capitalone.dashboard.util,EncryptionException,3,4,0,0,2,2,1,1,1,1
com.capitalone.dashboard:core,com.capitalone.dashboard.util,UnsafeDeleteException,16,0,0,0,8,0,4,0,4,0
com.capitalone.dashboard:core,com.capitalone.dashboard.util,SuperFeatureComparator,23,0,4,0,7,0,4,0,2,0
com.capitalone.dashboard:core,com.capitalone.dashboard.util,GitBranchSpec,3,139,1,21,1,38,2,15,1,5
com.capitalone.dashboard:core,com.capitalone.dashboard.util,HygieiaUtils.new BeanUtilsBean() {...},11,0,2,0,4,0,3,0,2,0
com.capitalone.dashboard:core,com.capitalone.dashboard.util,FeatureCollectorConstants,3,0,0,0,2,0,1,0,1,0
com.capitalone.dashboard:core,com.capitalone.dashboard.util,Encryption,54,192,0,0,15,55,2,7,2,7
com.capitalone.dashboard:core,com.capitalone.dashboard.util,HygieiaUtils,215,0,30,0,60,0,21,0,6,0
com.capitalone.dashboard:core,com.capitalone.dashboard.util,PipelineUtils,26,0,2,0,7,0,3,0,2,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model,QCloudInstanceHistory,140,0,4,0,27,0,8,0,6,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model,PipelineCommit,30,16,2,0,12,4,6,2,5,2
com.capitalone.dashboard:core,com.capitalone.dashboard.model,Build,99,0,0,0,39,0,25,0,25,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model,CloudInstance,242,0,4,0,93,0,62,0,60,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model,QDashboard,107,0,6,0,20,0,9,0,6,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model,EnvironmentComponent,73,0,0,0,31,0,21,0,21,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model,TestCaseCondition,27,0,0,0,10,0,5,0,5,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model,FeatureHistory,101,0,0,0,43,0,29,0,29,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model,BinaryArtifact.new Comparator() {...},9,0,0,0,2,0,2,0,2,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model,TestCaseStatus,58,0,0,0,2,0,4,0,4,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model,TestCase,112,0,0,0,42,0,26,0,26,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model,Scope,25,48,0,0,9,22,8,13,8,13
com.capitalone.dashboard:core,com.capitalone.dashboard.model,CollectorType,44,139,4,0,4,14,5,2,3,2
com.capitalone.dashboard:core,com.capitalone.dashboard.model,QCommit,32,104,6,2,6,19,7,3,3,3
com.capitalone.dashboard:core,com.capitalone.dashboard.model,TestCaseStep,31,0,0,0,13,0,9,0,9,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model,FeatureStatus,104,0,0,0,8,0,6,0,6,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model,QBaseModel,31,34,5,1,6,7,6,3,3,3
com.capitalone.dashboard:core,com.capitalone.dashboard.model,QCollectorItem,129,0,8,0,22,0,10,0,6,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model,BinaryArtifact,169,0,0,0,49,0,33,0,33,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model,CloudVolumeStorage,117,0,12,0,34,0,27,0,21,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model,QService,118,0,6,0,22,0,9,0,6,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model,QBuild,31,113,5,1,6,20,6,3,3,3
com.capitalone.dashboard:core,com.capitalone.dashboard.model,EnvironmentStage,7,3,0,0,3,1,2,1,2,1
com.capitalone.dashboard:core,com.capitalone.dashboard.model,TestSuiteType,113,0,4,0,6,0,7,0,5,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model,ScopeOwnerCollectorItem,59,50,10,0,9,14,9,9,4,9
com.capitalone.dashboard:core,com.capitalone.dashboard.model,NameValue,71,0,8,0,20,0,12,0,8,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model,CodeQualityMetric,69,0,6,0,24,0,17,0,14,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model,RepoBranch,122,0,10,0,30,0,16,0,11,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model,Widget,41,18,6,0,11,6,9,4,6,4
com.capitalone.dashboard:core,com.capitalone.dashboard.model,NameValueCount,23,0,0,0,10,0,5,0,5,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model,QRequestLog,130,0,4,0,26,0,8,0,6,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model,Authentication,34,39,0,2,7,9,5,5,5,4
com.capitalone.dashboard:core,com.capitalone.dashboard.model,QJobCollectorItem,119,0,4,0,25,0,8,0,6,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model,TestResult,130,0,0,0,54,0,36,0,36,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model,CommitType,44,39,4,0,4,4,5,2,3,2
